mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
-363.0956115722656,111.6591796875,13.714097023010254,49.9835319519043,-13.338621139526367,10.984543800354004,-9.681381225585938,1.7483837604522705,-13.456413269042969,4.151122093200684,-3.7964720726013184,1.8926877975463867,8.21174430847168,happy
-308.85888671875,86.73845672607422,17.481555938720703,38.7187614440918,7.4902496337890625,9.629910469055176,-8.328115463256836,2.082183599472046,-20.861555099487305,-5.629855155944824,-1.1035062074661255,-5.68034029006958,1.1859745979309082,happy
-348.8717346191406,112.72990417480469,21.70623207092285,43.25285339355469,-9.454200744628906,12.340788841247559,-9.895829200744629,2.6201741695404053,-8.09765338897705,-0.47964128851890564,-9.052855491638184,-8.107595443725586,-0.10585104674100876,happy
-356.0164794921875,135.83563232421875,14.47585678100586,40.046390533447266,-10.253649711608887,9.990580558776855,-17.789813995361328,4.1588897705078125,-9.294815063476562,2.1706955432891846,-6.625540733337402,-4.380931377410889,5.481441497802734,happy
-404.4800109863281,133.66976928710938,19.89678382873535,45.196224212646484,-0.7621151208877563,14.537492752075195,-4.37142276763916,7.6437668800354,-18.592050552368164,-5.425161361694336,-1.1184544563293457,-3.5394818782806396,3.687871217727661,happy
-339.1230163574219,129.50503540039062,3.454542398452759,50.57709884643555,-12.646100997924805,13.161126136779785,-12.443702697753906,4.409015655517578,-16.27101707458496,4.427102088928223,-4.6838483810424805,-6.052921295166016,4.134849548339844,happy
-356.7554931640625,121.7586441040039,3.6541059017181396,58.619163513183594,-1.181721806526184,12.45042610168457,-17.244091033935547,6.25883674621582,-12.564920425415039,3.863225221633911,-5.997718334197998,-6.633834362030029,8.191919326782227,happy
-383.6759338378906,131.73838806152344,-6.903646945953369,50.006526947021484,-1.989158034324646,15.90190601348877,-14.706330299377441,10.266551971435547,-8.362502098083496,-2.4016952514648438,-1.1829029321670532,-1.3161729574203491,2.7933218479156494,happy
-389.07861328125,135.35694885253906,6.850668430328369,40.7961540222168,-1.3796051740646362,17.033401489257812,-14.44386100769043,9.373540878295898,-0.8731794953346252,5.6959733963012695,0.8059518933296204,-1.804437279701233,6.740927219390869,happy
-327.2076721191406,135.46998596191406,-3.749157667160034,46.824031829833984,-7.932780742645264,6.799808979034424,-20.389005661010742,5.715975761413574,-13.444180488586426,5.256913185119629,-2.410207509994507,-7.347321033477783,6.991268634796143,happy
-337.91650390625,133.25672912597656,4.275796890258789,40.446983337402344,-1.7775665521621704,3.54638934135437,-7.543988227844238,2.4345571994781494,-17.37552261352539,2.9856927394866943,2.179091691970825,-7.0170722007751465,3.3787193298339844,happy
-360.2443542480469,125.40376281738281,10.460320472717285,52.86116027832031,-17.253725051879883,9.068007469177246,-13.268105506896973,4.482355117797852,-15.8338041305542,5.797577381134033,-4.313983917236328,-13.243691444396973,6.586026191711426,happy
-458.29351806640625,132.2007293701172,2.1622955799102783,57.721656799316406,-12.226595878601074,46.47465896606445,-18.103010177612305,15.42441177368164,-4.2971882820129395,8.945358276367188,-4.063601493835449,-5.828747749328613,5.895013809204102,happy
-456.03631591796875,138.0003204345703,6.15031623840332,46.8392333984375,-7.308204174041748,35.98889923095703,-13.505160331726074,14.17392635345459,-6.739720821380615,1.1156660318374634,-5.796061992645264,-4.446540355682373,4.363277435302734,happy
-325.99847412109375,103.15674591064453,9.667585372924805,34.264583587646484,-7.0886664390563965,9.701428413391113,-3.82492733001709,9.629642486572266,-11.4149808883667,2.062791347503662,-0.7580333948135376,-7.4531755447387695,4.730046272277832,happy
-404.3524169921875,139.11770629882812,17.207555770874023,56.805267333984375,-6.74507474899292,12.372544288635254,-8.003413200378418,9.462139129638672,-12.481651306152344,1.243320107460022,-4.186305046081543,-3.3987812995910645,5.313483715057373,happy
-357.25531005859375,124.67373657226562,-2.4624292850494385,39.2042236328125,-16.562519073486328,10.83527946472168,-1.647902250289917,4.255856037139893,-9.512718200683594,5.305813789367676,-6.385047912597656,0.9716193675994873,4.776737689971924,happy
